 ⌚  watch                                                          
 🏋🏾  person lifting weights: medium-dark skin tone                  
 🏋🏿  person lifting weights: dark skin tone                         
 🏌🏻  person golfing: light skin tone                                
 🏌🏼  person golfing: medium-light skin tone                         
 🏌🏽  person golfing: medium skin tone                               
 🏌🏾  person golfing: medium-dark skin tone                          
 🏌🏿  person golfing: dark skin tone                                 
 👂🏻  ear: light skin tone                                           
 👂🏼  ear: medium-light skin tone                                    
 👂🏽  ear: medium skin tone                                          
 👂🏾  ear: medium-dark skin tone                                     
 👂🏿  ear: dark skin tone                                            
 👃🏻  nose: light skin tone                                          
 👃🏼  nose: medium-light skin tone                                   
 👃🏽  nose: medium skin tone                                         
 👃🏾  nose: medium-dark skin tone                                    
 👃🏿  nose: dark skin tone                                           
 👆🏻  backhand index pointing up: light skin tone                    
 👆🏼  backhand index pointing up: medium-light skin tone             
 👆🏽  backhand index pointing up: medium skin tone                   
 👆🏾  backhand index pointing up: medium-dark skin tone              
 👆🏿  backhand index pointing up: dark skin tone                     
 👇🏻  backhand index pointing down: light skin tone                  
 👇🏼  backhand index pointing down: medium-light skin tone           
 👇🏽  backhand index pointing down: medium skin tone                 
 👇🏾  backhand index pointing down: medium-dark skin tone            
 👇🏿  backhand index pointing down: dark skin tone                   
 👈🏻  backhand index pointing left: light skin tone                  
 👈🏼  backhand index pointing left: medium-light skin tone           
 👈🏽  backhand index pointing left: medium skin tone                 
 👈🏾  backhand index pointing left: medium-dark skin tone            
 👈🏿  backhand index pointing left: dark skin tone                   
 👉🏻  backhand index pointing right: light skin tone                 
 👉🏼  backhand index pointing right: medium-light skin tone          
 👉🏽  backhand index pointing right: medium skin tone                
 👉🏾  backhand index pointing right: medium-dark skin tone           
 👉🏿  backhand index pointing right: dark skin tone                  
 👊🏻  oncoming fist: light skin tone                                 
 👊🏼  oncoming fist: medium-light skin tone                          
 👊🏽  oncoming fist: medium skin tone                                
 👊🏾  oncoming fist: medium-dark skin tone                           
 👊🏿  oncoming fist: dark skin tone                                  
 👋🏻  waving hand: light skin tone                                   
 👋🏼  waving hand: medium-light skin tone                            
 👋🏽  waving hand: medium skin tone                                  
 👋🏾  waving hand: medium-dark skin tone                             
 👋🏿  waving hand: dark skin tone                                    
 👌🏻  OK hand: light skin tone                                       
 👌🏼  OK hand: medium-light skin tone                                
 👌🏽  OK hand: medium skin tone                                      
 👌🏾  OK hand: medium-dark skin tone                                 
 👌🏿  OK hand: dark skin tone                                        
 👍🏻  thumbs up: light skin tone                                     
 👍🏼  thumbs up: medium-light skin tone                              
 👍🏽  thumbs up: medium skin tone                                    
 👍🏾  thumbs up: medium-dark skin tone                               
 👍🏿  thumbs up: dark skin tone                                      
 👎🏻  thumbs down: light skin tone                                   
 👎🏼  thumbs down: medium-light skin tone                            
 👎🏽  thumbs down: medium skin tone                                  
 👎🏾  thumbs down: medium-dark skin tone                             
 👎🏿  thumbs down: dark skin tone                                    
 👏🏻  clapping hands: light skin tone                                
 👏🏼  clapping hands: medium-light skin tone                         
 👏🏽  clapping hands: medium skin tone                               
 👏🏾  clapping hands: medium-dark skin tone                          
 👏🏿  clapping hands: dark skin tone                                 
 👐🏻  open hands: light skin tone                                    
 👐🏼  open hands: medium-light skin tone                             
 👐🏽  open hands: medium skin tone                                   
 👐🏾  open hands: medium-dark skin tone                              
 👐🏿  open hands: dark skin tone                                     
 👦🏻  boy: light skin tone                                           
 👦🏼  boy: medium-light skin tone                                    
 👦🏽  boy: medium skin tone                                          
 👦🏾  boy: medium-dark skin tone                                     
 👦🏿  boy: dark skin tone                                            
 👧🏻  girl: light skin tone                                          
 👧🏼  girl: medium-light skin tone                                   
 👧🏽  girl: medium skin tone                                         
 👧🏾  girl: medium-dark skin tone                                    
 👧🏿  girl: dark skin tone                                           
 👨🏻  man: light skin tone                                           
 👨🏼  man: medium-light skin tone                                    
 👨🏽  man: medium skin tone                                          
 👨🏾  man: medium-dark skin tone                                     
 👨🏿  man: dark skin tone                                            
 👩🏻  woman: light skin tone                                         
 👩🏼  woman: medium-light skin tone                                  
 👩🏽  woman: medium skin tone                                        
 👩🏾  woman: medium-dark skin tone                                   
 👩🏿  woman: dark skin tone                                          
 👫🏻  woman and man holding hands: light skin tone                   
 👫🏼  woman and man holding hands: medium-light skin tone            
 👫🏽  woman and man holding hands: medium skin tone                  
 👫🏾  woman and man holding hands: medium-dark skin tone             
 👫🏿  woman and man holding hands: dark skin tone                    
 👬🏻  men holding hands: light skin tone                             
 👬🏼  men holding hands: medium-light skin tone                      
 👬🏽  men holding hands: medium skin tone                            
 👬🏾  men holding hands: medium-dark skin tone                       
 👬🏿  men holding hands: dark skin tone                              
 👭🏻  women holding hands: light skin tone                           
 👭🏼  women holding hands: medium-light skin tone                    
 👭🏽  women holding hands: medium skin tone                          
 👭🏾  women holding hands: medium-dark skin tone                     
 👭🏿  women holding hands: dark skin tone                            
 👮🏻  police officer: light skin tone                                
 👮🏼  police officer: medium-light skin tone                         
 👮🏽  police officer: medium skin tone                               
 👮🏾  police officer: medium-dark skin tone                          
 👮🏿  police officer: dark skin tone                                 
 👰🏻  person with veil: light skin tone                              
 👰🏼  person with veil: medium-light skin tone                       
 👰🏽  person with veil: medium skin tone                             
 👰🏾  person with veil: medium-dark skin tone                        
 👰🏿  person with veil: dark skin tone                               
 👱🏻  person: light skin tone, blond hair                            
 👱🏼  person: medium-light skin tone, blond hair                     
 👱🏽  person: medium skin tone, blond hair                           
 👱🏾  person: medium-dark skin tone, blond hair                      
 👱🏿  person: dark skin tone, blond hair                             
 👲🏻  person with skullcap: light skin tone                          
 👲🏼  person with skullcap: medium-light skin tone                   
 👲🏽  person with skullcap: medium skin tone                         
 👲🏾  person with skullcap: medium-dark skin tone                    
 👲🏿  person with skullcap: dark skin tone                           
 👳🏻  person wearing turban: light skin tone                         
 👳🏼  person wearing turban: medium-light skin tone                  
 👳🏽  person wearing turban: medium skin tone                        
 👳🏾  person wearing turban: medium-dark skin tone                   
 👳🏿  person wearing turban: dark skin tone                          
 👴🏻  old man: light skin tone                                       
 👴🏼  old man: medium-light skin tone                                
 👴🏽  old man: medium skin tone                                      
 👴🏾  old man: medium-dark skin tone                                 
 👴🏿  old man: dark skin tone                                        
 👵🏻  old woman: light skin tone                                     
 👵🏼  old woman: medium-light skin tone                              
 👵🏽  old woman: medium skin tone                                    
 👵🏾  old woman: medium-dark skin tone                               
 👵🏿  old woman: dark skin tone                                      
 👶🏻  baby: light skin tone                                          
 👶🏼  baby: medium-light skin tone                                   
 👶🏽  baby: medium skin tone                                         
 👶🏾  baby: medium-dark skin tone                                    
 👶🏿  baby: dark skin tone                                           
 👷🏻  construction worker: light skin tone                           
 👷🏼  construction worker: medium-light skin tone                    
 👷🏽  construction worker: medium skin tone                          
 👷🏾  construction worker: medium-dark skin tone                     
 👷🏿  construction worker: dark skin tone                            
 👸🏻  princess: light skin tone                                      
 👸🏼  princess: medium-light skin tone                               
 👸🏽  princess: medium skin tone                                     
 👸🏾  princess: medium-dark skin tone                                
 👸🏿  princess: dark skin tone                                       
 👼🏻  baby angel: light skin tone                                    
 👼🏼  baby angel: medium-light skin tone                             
 👼🏽  baby angel: medium skin tone                                   
 👼🏾  baby angel: medium-dark skin tone                              
 👼🏿  baby angel: dark skin tone                                     
 💁🏻  person tipping hand: light skin tone                           
 💁🏼  person tipping hand: medium-light skin tone                    
 💁🏽  person tipping hand: medium skin tone                          
 💁🏾  person tipping hand: medium-dark skin tone                     
 💁🏿  person tipping hand: dark skin tone                            
 💂🏻  guard: light skin tone                                         
 💂🏼  guard: medium-light skin tone                                  
 💂🏽  guard: medium skin tone                                        
 💂🏾  guard: medium-dark skin tone                                   
 💂🏿  guard: dark skin tone                                          
 💃🏻  woman dancing: light skin tone                                 
 💃🏼  woman dancing: medium-light skin tone                          
 💃🏽  woman dancing: medium skin tone                                
 💃🏾  woman dancing: medium-dark skin tone                           
 💃🏿  woman dancing: dark skin tone                                  
 💅🏻  nail polish: light skin tone                                   
 💅🏼  nail polish: medium-light skin tone                            
 💅🏽  nail polish: medium skin tone                                  
 💅🏾  nail polish: medium-dark skin tone                             
 💅🏿  nail polish: dark skin tone                                    
 💆🏻  person getting massage: light skin tone                        
 💆🏼  person getting massage: medium-light skin tone                 
 💆🏽  person getting massage: medium skin tone                       
 💆🏾  person getting massage: medium-dark skin tone                  
 💆🏿  person getting massage: dark skin tone                         
 💇🏻  person getting haircut: light skin tone                        
 💇🏼  person getting haircut: medium-light skin tone                 
 💇🏽  person getting haircut: medium skin tone                       
 💇🏾  person getting haircut: medium-dark skin tone                  
 💇🏿  person getting haircut: dark skin tone                         
 💪🏻  flexed biceps: light skin tone                                 
 💪🏼  flexed biceps: medium-light skin tone                          
 💪🏽  flexed biceps: medium skin tone                                
 💪🏾  flexed biceps: medium-dark skin tone                           
 💪🏿  flexed biceps: dark skin tone                                  
 🕴🏻  person in suit levitating: light skin tone                     
 🕴🏼  person in suit levitating: medium-light skin tone              
 🕴🏽  person in suit levitating: medium skin tone                    
 🕴🏾  person in suit levitating: medium-dark skin tone               
 🕴🏿  person in suit levitating: dark skin tone                      
 🕵🏻  detective: light skin tone                                     
 🕵🏼  detective: medium-light skin tone                              
 🕵🏽  detective: medium skin tone                                    
 🕵🏾  detective: medium-dark skin tone                               
 🕵🏿  detective: dark skin tone                                      
 🕺🏻  man dancing: light skin tone                                   
 🕺🏼  man dancing: medium-light skin tone                            
 🕺🏽  man dancing: medium skin tone                                  
 🕺🏾  man dancing: medium-dark skin tone                             
 🕺🏿  man dancing: dark skin tone                                    
 🖐🏻  hand with fingers splayed: light skin tone                     
 🖐🏼  hand with fingers splayed: medium-light skin tone              
 🖐🏽  hand with fingers splayed: medium skin tone                    
 🖐🏾  hand with fingers splayed: medium-dark skin tone               
 🖐🏿  hand with fingers splayed: dark skin tone                      
 🖕🏻  middle finger: light skin tone                                 
 🖕🏼  middle finger: medium-light skin tone                          
 🖕🏽  middle finger: medium skin tone                                
 🖕🏾  middle finger: medium-dark skin tone                           
 🖕🏿  middle finger: dark skin tone                                  
 🖖🏻  vulcan salute: light skin tone                                 
 🖖🏼  vulcan salute: medium-light skin tone                          
 🖖🏽  vulcan salute: medium skin tone                                
 🖖🏾  vulcan salute: medium-dark skin tone                           
 🖖🏿  vulcan salute: dark skin tone                                  
 🙅🏻  person gesturing NO: light skin tone                           
 🙅🏼  person gesturing NO: medium-light skin tone                    
 🙅🏽  person gesturing NO: medium skin tone                          
 🙅🏾  person gesturing NO: medium-dark skin tone                     
 🙅🏿  person gesturing NO: dark skin tone                            
 🙆🏻  person gesturing OK: light skin tone                           
 🙆🏼  person gesturing OK: medium-light skin tone                    
 🙆🏽  person gesturing OK: medium skin tone                          
 🙆🏾  person gesturing OK: medium-dark skin tone                     
 🙆🏿  person gesturing OK: dark skin tone                            
 🙇🏻  person bowing: light skin tone                                 
 🙇🏼  person bowing: medium-light skin tone                          
 🙇🏽  person bowing: medium skin tone                                
 🙇🏾  person bowing: medium-dark skin tone                           
 🙇🏿  person bowing: dark skin tone                                  
 🙋🏻  person raising hand: light skin tone                           
 🙋🏼  person raising hand: medium-light skin tone                    
 🙋🏽  person raising hand: medium skin tone                          
 🙋🏾  person raising hand: medium-dark skin tone                     
 🙋🏿  person raising hand: dark skin tone                            
 🙌🏻  raising hands: light skin tone                                 
 🙌🏼  raising hands: medium-light skin tone                          
 🙌🏽  raising hands: medium skin tone                                
 🙌🏾  raising hands: medium-dark skin tone                           
 🙌🏿  raising hands: dark skin tone                                  
 🙍🏻  person frowning: light skin tone                               
 🙍🏼  person frowning: medium-light skin tone                        
 🙍🏽  person frowning: medium skin tone                              
 🙍🏾  person frowning: medium-dark skin tone                         
 🙍🏿  person frowning: dark skin tone                                
 🙎🏻  person pouting: light skin tone                                
 🙎🏼  person pouting: medium-light skin tone                         
 🙎🏽  person pouting: medium skin tone                               
 🙎🏾  person pouting: medium-dark skin tone                          
 🙎🏿  person pouting: dark skin tone                                 
 🙏🏻  folded hands: light skin tone                                  
 🙏🏼  folded hands: medium-light skin tone                           
 🙏🏽  folded hands: medium skin tone                                 
 🙏🏾  folded hands: medium-dark skin tone                            
 🙏🏿  folded hands: dark skin tone                                   
 🚣🏻  person rowing boat: light skin tone                            
 🚣🏼  person rowing boat: medium-light skin tone                     
 🚣🏽  person rowing boat: medium skin tone                           
 🚣🏾  person rowing boat: medium-dark skin tone                      
 🚣🏿  person rowing boat: dark skin tone                             
 🚴🏻  person biking: light skin tone                                 
 🚴🏼  person biking: medium-light skin tone                          
 🚴🏽  person biking: medium skin tone                                
 🚴🏾  person biking: medium-dark skin tone                           
 🚴🏿  person biking: dark skin tone                                  
 🚵🏻  person mountain biking: light skin tone                        
 🚵🏼  person mountain biking: medium-light skin tone                 
 🚵🏽  person mountain biking: medium skin tone                       
 🚵🏾  person mountain biking: medium-dark skin tone                  
 🚵🏿  person mountain biking: dark skin tone                         
 🚶🏻  person walking: light skin tone                                
 🚶🏼  person walking: medium-light skin tone                         
 🚶🏽  person walking: medium skin tone                               
 🚶🏾  person walking: medium-dark skin tone                          
 🚶🏿  person walking: dark skin tone                                 
 🛀🏻  person taking bath: light skin tone                            
 🛀🏼  person taking bath: medium-light skin tone                     
 🛀🏽  person taking bath: medium skin tone                           
 🛀🏾  person taking bath: medium-dark skin tone                      
 🛀🏿  person taking bath: dark skin tone                             
 🛌🏻  person in bed: light skin tone                                 
 🛌🏼  person in bed: medium-light skin tone                          
 🛌🏽  person in bed: medium skin tone                                
 🛌🏾  person in bed: medium-dark skin tone                           
 🛌🏿  person in bed: dark skin tone                                  
 🤌🏻  pinched fingers: light skin tone                               
 🤌🏼  pinched fingers: medium-light skin tone                        
 🤌🏽  pinched fingers: medium skin tone                              
 🤌🏾  pinched fingers: medium-dark skin tone                         
 🤌🏿  pinched fingers: dark skin tone                                
 🤏🏻  pinching hand: light skin tone                                 
 🤏🏼  pinching hand: medium-light skin tone                          
 🤏🏽  pinching hand: medium skin tone                                
 🤏🏾  pinching hand: medium-dark skin tone                           
 🤏🏿  pinching hand: dark skin tone                                  
 🤘🏻  sign of the horns: light skin tone                             
 🤘🏼  sign of the horns: medium-light skin tone                      
 🤘🏽  sign of the horns: medium skin tone                            
 🤘🏾  sign of the horns: medium-dark skin tone                       
 🤘🏿  sign of the horns: dark skin tone                              
 🤙🏻  call me hand: light skin tone                                  
 🤙🏼  call me hand: medium-light skin tone                           
 🤙🏽  call me hand: medium skin tone                                 
 🤙🏾  call me hand: medium-dark skin tone                            
 🤙🏿  call me hand: dark skin tone                                   
 🤚🏻  raised back of hand: light skin tone                           
 🤚🏼  raised back of hand: medium-light skin tone                    
 🤚🏽  raised back of hand: medium skin tone                          
 🤚🏾  raised back of hand: medium-dark skin tone                     
 🤚🏿  raised back of hand: dark skin tone                            
 🤛🏻  left-facing fist: light skin tone                              
 🤛🏼  left-facing fist: medium-light skin tone                       
 🤛🏽  left-facing fist: medium skin tone                             
 🤛🏾  left-facing fist: medium-dark skin tone                        
 🤛🏿  left-facing fist: dark skin tone                               
 🤜🏻  right-facing fist: light skin tone                             
 🤜🏼  right-facing fist: medium-light skin tone                      
 🤜🏽  right-facing fist: medium skin tone                            
 🤜🏾  right-facing fist: medium-dark skin tone                       
 🤜🏿  right-facing fist: dark skin tone                              
 🤞🏻  crossed fingers: light skin tone                               
 🤞🏼  crossed fingers: medium-light skin tone                        
 🤞🏽  crossed fingers: medium skin tone                              
 🤞🏾  crossed fingers: medium-dark skin tone                         
 🤞🏿  crossed fingers: dark skin tone                                
 🤟🏻  love-you gesture: light skin tone                              
 🤟🏼  love-you gesture: medium-light skin tone                       
 🤟🏽  love-you gesture: medium skin tone                             
 🤟🏾  love-you gesture: medium-dark skin tone                        
 🤟🏿  love-you gesture: dark skin tone                               
 🤦🏻  person facepalming: light skin tone                            
 🤦🏼  person facepalming: medium-light skin tone                     
 🤦🏽  person facepalming: medium skin tone                           
 🤦🏾  person facepalming: medium-dark skin tone                      
 🤦🏿  person facepalming: dark skin tone                             
 🤰🏻  pregnant woman: light skin tone                                
 🤰🏼  pregnant woman: medium-light skin tone                         
 🤰🏽  pregnant woman: medium skin tone                               
 🤰🏾  pregnant woman: medium-dark skin tone                          
 🤰🏿  pregnant woman: dark skin tone                                 
 🤱🏻  breast-feeding: light skin tone                                
 🤱🏼  breast-feeding: medium-light skin tone                         
 🤱🏽  breast-feeding: medium skin tone                               
 🤱🏾  breast-feeding: medium-dark skin tone                          
 🤱🏿  breast-feeding: dark skin tone                                 
 🤲🏻  palms up together: light skin tone                             
 🤲🏼  palms up together: medium-light skin tone                      
 🤲🏽  palms up together: medium skin tone                            
 🤲🏾  palms up together: medium-dark skin tone                       
 🤲🏿  palms up together: dark skin tone                              
 🤳🏻  selfie: light skin tone                                        
 🤳🏼  selfie: medium-light skin tone                                 
 🤳🏽  selfie: medium skin tone                                       
 🤳🏾  selfie: medium-dark skin tone                                  
 🤳🏿  selfie: dark skin tone                                         
 🤴🏻  prince: light skin tone                                        
 🤴🏼  prince: medium-light skin tone                                 
 🤴🏽  prince: medium skin tone                                       
 🤴🏾  prince: medium-dark skin tone                                  
 🤴🏿  prince: dark skin tone                                         
 🤵🏻  person in tuxedo: light skin tone                              
 🤵🏼  person in tuxedo: medium-light skin tone                       
 🤵🏽  person in tuxedo: medium skin tone                             
 🤵🏾  person in tuxedo: medium-dark skin tone                        
 🤵🏿  person in tuxedo: dark skin tone                               
 🤶🏻  Mrs. Claus: light skin tone                                    
 🤶🏼  Mrs. Claus: medium-light skin tone                             
 🤶🏽  Mrs. Claus: medium skin tone                                   
 🤶🏾  Mrs. Claus: medium-dark skin tone                              
 🤶🏿  Mrs. Claus: dark skin tone                                     
 🤷🏻  person shrugging: light skin tone                              
 🤷🏼  person shrugging: medium-light skin tone                       
 🤷🏽  person shrugging: medium skin tone                             
 🤷🏾  person shrugging: medium-dark skin tone                        
 🤷🏿  person shrugging: dark skin tone                               
 🤸🏻  person cartwheeling: light skin tone                           
 🤸🏼  person cartwheeling: medium-light skin tone                    
 🤸🏽  person cartwheeling: medium skin tone                          
 🤸🏾  person cartwheeling: medium-dark skin tone                     
 🤸🏿  person cartwheeling: dark skin tone                            
 🤹🏻  person juggling: light skin tone                               
 🤹🏼  person juggling: medium-light skin tone                        
 🤹🏽  person juggling: medium skin tone                              
 🤹🏾  person juggling: medium-dark skin tone                         
 🤹🏿  person juggling: dark skin tone                                
 🤽🏻  person playing water polo: light skin tone                     
 🤽🏼  person playing water polo: medium-light skin tone              
 🤽🏽  person playing water polo: medium skin tone                    
 🤽🏾  person playing water polo: medium-dark skin tone               
 🤽🏿  person playing water polo: dark skin tone                      
 🤾🏻  person playing handball: light skin tone                       
 🤾🏼  person playing handball: medium-light skin tone                
 🤾🏽  person playing handball: medium skin tone                      
 🤾🏾  person playing handball: medium-dark skin tone                 
 🤾🏿  person playing handball: dark skin tone                        
 🥷🏻  ninja: light skin tone                                         
 🥷🏼  ninja: medium-light skin tone                                  
 🥷🏽  ninja: medium skin tone                                        
 🥷🏾  ninja: medium-dark skin tone                                   
 🥷🏿  ninja: dark skin tone                                          
 🦵🏻  leg: light skin tone                                           
 🦵🏼  leg: medium-light skin tone                                    
 🦵🏽  leg: medium skin tone                                          
 🦵🏾  leg: medium-dark skin tone                                     
 🦵🏿  leg: dark skin tone                                            
 🦶🏻  foot: light skin tone                                          
 🦶🏼  foot: medium-light skin tone                                   
 🦶🏽  foot: medium skin tone                                         
 🦶🏾  foot: medium-dark skin tone                                    
 🦶🏿  foot: dark skin tone                                           
 🦸🏻  superhero: light skin tone                                     
 🦸🏼  superhero: medium-light skin tone                              
 🦸🏽  superhero: medium skin tone                                    
 🦸🏾  superhero: medium-dark skin tone                               
 🦸🏿  superhero: dark skin tone                                      
 🦹🏻  supervillain: light skin tone                                  
 🦹🏼  supervillain: medium-light skin tone                           
 🦹🏽  supervillain: medium skin tone                                 
 🦹🏾  supervillain: medium-dark skin tone                            
 🦹🏿  supervillain: dark skin tone                                   
 🦻🏻  ear with hearing aid: light skin tone                          
 🦻🏼  ear with hearing aid: medium-light skin tone                   
 🦻🏽  ear with hearing aid: medium skin tone                         
 🦻🏾  ear with hearing aid: medium-dark skin tone                    
 🦻🏿  ear with hearing aid: dark skin tone                           
 🧍🏻  person standing: light skin tone                               
 🧍🏼  person standing: medium-light skin tone                        
 🧍🏽  person standing: medium skin tone                              
 🧍🏾  person standing: medium-dark skin tone                         
 🧍🏿  person standing: dark skin tone                                
 🧎🏻  person kneeling: light skin tone                               
 🧎🏼  person kneeling: medium-light skin tone                        
 🧎🏽  person kneeling: medium skin tone                              
 🧎🏾  person kneeling: medium-dark skin tone                         
 🧎🏿  person kneeling: dark skin tone                                
 🧏🏻  deaf person: light skin tone                                   
 🧏🏼  deaf person: medium-light skin tone                            
 🧏🏽  deaf person: medium skin tone                                  
 🧏🏾  deaf person: medium-dark skin tone                             
 🧏🏿  deaf person: dark skin tone                                    
 🧑🏻  person: light skin tone                                        
 🧑🏼  person: medium-light skin tone                                 
 🧑🏽  person: medium skin tone                                       
 🧑🏾  person: medium-dark skin tone                                  
 🧑🏿  person: dark skin tone                                         
 🧒🏻  child: light skin tone                                         
 🧒🏼  child: medium-light skin tone                                  
 🧒🏽  child: medium skin tone                                        
 🧒🏾  child: medium-dark skin tone                                   
 🧒🏿  child: dark skin tone                                          
 🧓🏻  older person: light skin tone                                  
 🧓🏼  older person: medium-light skin tone                           
 🧓🏽  older person: medium skin tone                                 
 🧓🏾  older person: medium-dark skin tone                            
 🧓🏿  older person: dark skin tone                                   
 🧔🏻  man: light skin tone, beard                                    
 🧔🏼  man: medium-light skin tone, beard                             
 🧔🏽  man: medium skin tone, beard                                   
 🧔🏾  man: medium-dark skin tone, beard                              
 🧔🏿  man: dark skin tone, beard                                     
 🧕🏻  woman with headscarf: light skin tone                          
 🧕🏼  woman with headscarf: medium-light skin tone                   
 🧕🏽  woman with headscarf: medium skin tone                         
 🧕🏾  woman with headscarf: medium-dark skin tone                    
 🧕🏿  woman with headscarf: dark skin tone                           
 🧖🏻  person in steamy room: light skin tone                         
 🧖🏼  person in steamy room: medium-light skin tone                  
 🧖🏽  person in steamy room: medium skin tone                        
 🧖🏾  person in steamy room: medium-dark skin tone                   
 🧖🏿  person in steamy room: dark skin tone                          
 🧗🏻  person climbing: light skin tone                               
 🧗🏼  person climbing: medium-light skin tone                        
 🧗🏽  person climbing: medium skin tone                              
 🧗🏾  person climbing: medium-dark skin tone                         
 🧗🏿  person climbing: dark skin tone                                
 🧘🏻  person in lotus position: light skin tone                      
 🧘🏼  person in lotus position: medium-light skin tone               
 🧘🏽  person in lotus position: medium skin tone                     
 🧘🏾  person in lotus position: medium-dark skin tone                
 🧘🏿  person in lotus position: dark skin tone                       
 🧙🏻  mage: light skin tone                                          
 🧙🏼  mage: medium-light skin tone                                   
 🧙🏽  mage: medium skin tone                                         
 🧙🏾  mage: medium-dark skin tone                                    
 🧙🏿  mage: dark skin tone                                           
 🧚🏻  fairy: light skin tone                                         
 🧚🏼  fairy: medium-light skin tone                                  
 🧚🏽  fairy: medium skin tone                                        
 🧚🏾  fairy: medium-dark skin tone                                   
 🧚🏿  fairy: dark skin tone                                          
 🧛🏻  vampire: light skin tone                                       
 🧛🏼  vampire: medium-light skin tone                                
 🧛🏽  vampire: medium skin tone                                      
 🧛🏾  vampire: medium-dark skin tone                                 
 🧛🏿  vampire: dark skin tone                                        
 🧜🏻  merperson: light skin tone                                     
 🧜🏼  merperson: medium-light skin tone                              
 🧜🏽  merperson: medium skin tone                                    
 🧜🏾  merperson: medium-dark skin tone                               
 🧜🏿  merperson: dark skin tone                                      
 🧝🏻  elf: light skin tone                                           
 🧝🏼  elf: medium-light skin tone                                    
 🧝🏽  elf: medium skin tone                                          
 🧝🏾  elf: medium-dark skin tone                                     
 🧝🏿  elf: dark skin tone                                            
